TrustCent	TrustProv	TrustLocal	V7B	Peking	year_88_89	year_87_90	year_86_91	year_85_92	year_84_93	year_84_94	Female	marriage	T	start_year	method	Age_Enter_college	V01a	V23	V4a	Education	CCP	GovtJob	Income2	X_c	X2	X3	DX	DX2	DX3	D	method.1	birth_date
7.0	5.0	3.0	2.0	0.0		1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1987.0	3.0	20.0	1.0	2.0	1.0	1.0	0.0	1.0	3.0	-2.91849315068498	8.51760227059515	-24.8585638869908	-2.91849315068498	8.51760227059515	-24.8585638869908	1.0	3.0	1968.68633401347
10.0	6.0	1.0	2.0	0.0						1.0	0.0	1.0	0.0	1994.0	2.0	19.0	1.0	2.0	1.0	1.0	0.0	0.0	6.0	5.08150684931502	25.8217118596355	131.213205675776	0.0	0.0	0.0	0.0	2.0	1976.73560754163
9.0	7.0	6.0	5.0	0.0						1.0	0.0	1.0	0.0	1994.0	2.0	19.5833740234375	1.0	2.0	1.0	1.0	0.0	0.0	5.0	4.49813282587752	20.2331989192369	91.0116162311289	0.0	0.0	0.0	0.0	2.0	1975.52365546813
9.0	6.0	3.0	4.0	0.0						1.0	1.0	0.0	0.0	1994.0	2.0	19.6666259765625	3.0	1.0	3.0	3.0	0.0	1.0	2.0	4.41488087275252	19.491173120596	86.0512073976275	0.0	0.0	0.0	0.0	2.0	1974.87390322052
9.0	7.0	5.0	4.0	0.0						1.0	0.0	1.0	0.0	1994.0	2.0	19.75	1.0	2.0	1.0	1.0	0.0	1.0	3.0	4.33150684931502	18.7619515856629	81.2675217998158	0.0	0.0	0.0	0.0	2.0	1974.29339519097
4.0	9.0	7.0	2.0	0.0					1.0	1.0	0.0	1.0	0.0	1993.0	4.0	18.9166259765625	1.0	2.0	2.0	2.0	0.0	0.0	4.0	4.16488087275252	17.3462326842198	72.2449927208216	0.0	0.0	0.0	0.0	4.0	1974.90837938897
6.0	5.0	5.0	5.0	0.0						1.0	1.0	1.0	0.0	1994.0	2.0	19.9166259765625	1.0	2.0	1.0	1.0	0.0	0.0	3.0	4.16488087275252	17.3462326842198	72.2449927208216	0.0	0.0	0.0	0.0	2.0	1975.80343862157
6.0	5.0	4.0	4.0	0.0					1.0	1.0	0.0	1.0	0.0	1993.0	4.0	19.1666259765625	1.0	2.0	1.0	1.0	0.0	0.0	4.0	3.91488087275252	15.3262922478435	60.0006083712978	0.0	0.0	0.0	0.0	4.0	1975.56087655807
7.0	5.0	5.0	5.0	0.0				1.0	1.0	1.0	0.0	1.0	0.0	1992.0	4.0	18.25	2.0	2.0	1.0	1.0	0.0	0.0	4.0	3.83150684931502	14.6804447363479	56.2482245583076	0.0	0.0	0.0	0.0	4.0	1974.56447631167
4.0	10.0	4.0	2.0	0.0						1.0	0.0	1.0	0.0	1994.0	4.0	20.4166259765625	3.0	2.0	3.0	3.0	1.0	0.0	3.0	3.66488087275252	13.4313518114673	49.2243043490563	0.0	0.0	0.0	0.0	4.0	1974.66677235439
